song_title,film,year,language,category,co_singers,composer,lyricist,notes,youtube_url
Yeh Duniya Yeh Mehfil,Heer Raanjha,1970,Hindi,Sad,Solo,Madan Mohan,Kaifi Azmi,,https://www.youtube.com/results?search_query=Yeh+Duniya+Yeh+Mehfil+Mohammad+Rafi
Gulabi Aankhen,The Train,1970,Hindi,Romantic,Solo,R.D. Burman,Anand Bakshi,,https://www.youtube.com/results?search_query=Gulabi+Aankhen+Mohammad+Rafi
Yeh Jo Chilman Hai,Mehboob Ki Mehndi,1971,Hindi,Playful,Solo,Laxmikant-Pyarelal,Anand Bakshi,,https://www.youtube.com/results?search_query=Yeh+Jo+Chilman+Hai+Mohammad+Rafi
Chura Liya Hai Tumne,Yaadon Ki Baaraat,1973,Hindi,Romantic,Duet with Asha Bhosle,R.D. Burman,Majrooh Sultanpuri,,https://www.youtube.com/results?search_query=Chura+Liya+Hai+Tumne+Mohammad+Rafi
Tum Jo Mil Gaye Ho,Hanste Zakhm,1973,Hindi,Romantic,Solo,Madan Mohan,Kaifi Azmi,,https://www.youtube.com/results?search_query=Tum+Jo+Mil+Gaye+Ho+Mohammad+Rafi
Teri Bindiya Re,Abhimaan,1973,Hindi,Romantic,Duet with Lata Mangeshkar,S.D. Burman,Majrooh Sultanpuri,,https://www.youtube.com/results?search_query=Teri+Bindiya+Re+Mohammad+Rafi
Kya Hua Tera Wada,Hum Kisise Kum Naheen,1977,Hindi,Sad,Duet with Sushma Shrestha,R.D. Burman,Majrooh Sultanpuri,,https://www.youtube.com/results?search_query=Kya+Hua+Tera+Wada+Mohammad+Rafi
Parda Hai Parda,Amar Akbar Anthony,1977,Hindi,Qawwali,Solo,Laxmikant-Pyarelal,Anand Bakshi,,https://www.youtube.com/results?search_query=Parda+Hai+Parda+Mohammad+Rafi
Chand Mera Dil,Hum Kisise Kum Naheen,1977,Hindi,Romantic,Solo,R.D. Burman,Majrooh Sultanpuri,,https://www.youtube.com/results?search_query=Chand+Mera+Dil+Mohammad+Rafi
"Dard-e-Dil, Dard-e-Jigar",Karz,1980,Hindi,Romantic,Solo,Laxmikant-Pyarelal,Anand Bakshi,Released in 1980 but from late 70s style,https://www.youtube.com/results?search_query=Dard-e-Dil+Dard-e-Jigar+Mohammad+Rafi
